code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev
cloud,2020,16,71,POINT (-174.92011135170083 -21.386923026043885),1.0,715620.0,-2366400.0,0.0,0.4950999915599823,0.4810437560081482,4.0,0.47530001401901245,0.4382537603378296,0.65829998254776,0.24583624303340912,0.4512999951839447,0.4345000088214874,0.19769999384880066,0.09252375364303589,0.15839999914169312,0.11676499992609024,-0.41659998893737793,0.18938757479190826,0.2312498390674591
cloud,2020,16,71,POINT (-174.94434185298257 -21.416257544365298),1.0,713070.0,-2369610.0,0.0,0.29679998755455017,0.26856499910354614,4.0,0.30079999566078186,0.24197250604629517,0.4763000011444092,0.13457125425338745,0.28700000047683716,0.2440212517976761,0.18359999358654022,0.016197500750422478,0.14020000398159027,0.05795624852180481,-0.41429999470710754,0.17863135039806366,0.23653820157051086
cloud,2020,16,71,POINT (-174.9274858520909 -21.420203437594335),1.0,714810.0,-2370060.0,0.0,0.33629998564720154,0.3173087537288666,4.0,0.3440999984741211,0.29445624351501465,0.6011999845504761,0.09946750104427338,0.3248000144958496,0.30193623900413513,0.2648000121116638,0.10657624900341034,0.16779999434947968,0.10980749875307083,-0.454800009727478,0.21704328060150146,0.24052245914936066
cloud,2020,16,71,POINT (-174.91990065168966 -21.41546835277973),1.0,715620.0,-2369550.0,0.0,0.24009999632835388,0.21681000292301178,5.0,0.28299999237060547,0.23253999650478363,0.5206000208854675,0.03423750028014183,0.26429998874664307,0.24034999310970306,0.28439998626708984,0.10342749953269958,0.18330000340938568,0.11459250003099442,-0.29280000925064087,0.18905781209468842,0.22887971997261047
cloud,2020,16,71,POINT (-174.9280477187873 -21.43519684820159),1.0,714750.0,-2371740.0,0.0,0.27619999647140503,0.2640412449836731,4.0,0.27790001034736633,0.2404325008392334,0.4968999922275543,0.14393499493598938,0.26249998807907104,0.24448874592781067,0.20080000162124634,0.06978125125169754,0.13179999589920044,0.076944999396801,-0.4456999897956848,0.24419081211090088,0.27222704887390137
cloud,2020,16,71,POINT (-174.89869018390095 -21.433881699076316),1.0,717780.0,-2371620.0,0.0,0.18930000066757202,0.17036250233650208,5.0,0.17389999330043793,0.16708999872207642,0.25679999589920044,0.2536599934101105,0.18000000715255737,0.18031750619411469,0.1996999979019165,0.08590999990701675,0.14270000159740448,0.1046375036239624,-0.11299999803304672,0.11038852483034134,0.2856329381465912
cloud,2020,16,71,POINT (-174.89349291695933 -21.428226421234104),1.0,718320.0,-2371020.0,0.0,0.10170000046491623,0.09051624685525894,6.0,0.09440000355243683,0.08828874677419662,0.15970000624656677,0.14810125529766083,0.09369999915361404,0.09436625242233276,0.15279999375343323,0.11467500030994415,0.1281999945640564,0.09532874822616577,-0.12700000405311584,0.1012755036354065,0.2787873148918152
cloud,2020,16,71,POINT (-174.89489758370033 -21.422307869888378),1.0,718200.0,-2370360.0,0.0,0.08030000329017639,0.07170625030994415,6.0,0.09200000017881393,0.08922374993562698,0.13210000097751617,0.13239875435829163,0.08560000360012054,0.08953999727964401,0.1265999972820282,0.1064937487244606,0.11089999973773956,0.09550750255584717,-0.02759999968111515,0.16690900921821594,0.2417660802602768
cloud,2020,16,71,POINT (-174.8955999170708 -21.410206965328747),1.0,718140.0,-2369010.0,0.0,0.12880000472068787,0.11713624745607376,6.0,0.11729999631643295,0.11405625194311142,0.14300000667572021,0.1422712504863739,0.1145000010728836,0.11737000197172165,0.06159999966621399,0.05314375087618828,0.0640999972820282,0.05589374899864197,0.04039999842643738,0.24611414968967438,0.26820725202560425
cloud,2020,16,71,POINT (-174.89770691718226 -21.40968081604231),1.0,717930.0,-2368950.0,0.0,0.16439999639987946,0.15314750373363495,6.0,0.16060000658035278,0.15716250240802765,0.1876000016927719,0.18866375088691711,0.15680000185966492,0.16196124255657196,0.05040000006556511,0.04237750172615051,0.05480000004172325,0.046956248581409454,0.1462000012397766,0.18839412927627563,0.24224722385406494
cloud,2020,16,71,POINT (-174.8974259838341 -21.402577613117803),1.0,717960.0,-2368170.0,0.0,0.17190000414848328,0.16028374433517456,6.0,0.16369999945163727,0.1589224934577942,0.18199999630451202,0.1796025037765503,0.1597999930381775,0.1639000028371811,0.07289999723434448,0.0653812512755394,0.07769999653100967,0.0707712471485138,0.09759999811649323,0.2905081808567047,0.2748989462852478
cloud,2020,16,71,POINT (-174.90922518445825 -21.400867530630947),1.0,716730.0,-2367960.0,0.0,0.3885999917984009,0.37878501415252686,6.0,0.3776000142097473,0.34011998772621155,0.5982999801635742,0.18776999413967133,0.3693000078201294,0.3523299992084503,0.1655000001192093,0.042762499302625656,0.13230000436306,0.0817437469959259,-0.477400004863739,0.2048824429512024,0.25992244482040405
cloud,2020,16,71,POINT (-174.94771305316095 -21.46274646483251),1.0,712650.0,-2374770.0,0.0,0.08749999850988388,0.07737124711275101,4.0,0.08150000125169754,0.07413999736309052,0.11190000176429749,0.10249249637126923,0.08259999752044678,0.08124875277280807,0.09470000118017197,0.07170625030994415,0.06989999860525131,0.04415125027298927,-0.00800000037997961,0.14195671677589417,0.15623803436756134
cloud,2020,16,71,POINT (-174.95003075328356 -21.455514378277496),1.0,712440.0,-2373960.0,0.0,0.07209999859333038,0.06477624922990799,4.0,0.07119999825954437,0.06547749787569046,0.1014999970793724,0.0964287519454956,0.07199999690055847,0.0744287520647049,0.09690000116825104,0.07420875132083893,0.07500000298023224,0.05123249813914299,-0.061400000005960464,0.09675139933824539,0.17032887041568756
cloud,2020,16,71,POINT (-174.93928505271506 -21.46261497558982),1.0,713520.0,-2374740.0,0.0,0.12559999525547028,0.12046375125646591,4.0,0.1225999966263771,0.11522500216960907,0.1396999955177307,0.13362249732017517,0.11879999935626984,0.11812625080347061,0.11389999836683273,0.09150625020265579,0.07720000296831131,0.05622375011444092,0.008799999952316284,0.15252424776554108,0.1750357747077942
cloud,2020,16,71,POINT (-174.91779365157822 -21.462417741500758),1.0,715770.0,-2374770.0,0.0,0.1665000021457672,0.15573249757289886,4.0,0.14980000257492065,0.14565375447273254,0.16369999945163727,0.16315749287605286,0.14710000157356262,0.14975124597549438,0.11999999731779099,0.10700249671936035,0.0786999985575676,0.06740249693393707,9.999999747378752e-05,0.11437677592039108,0.31484419107437134
cloud,2020,16,71,POINT (-174.91961971834147 -21.305860446210215),1.0,715800.0,-2357430.0,0.0,0.1818999946117401,0.1615762561559677,6.0,0.23340000212192535,0.1842775046825409,0.5339999794960022,0.0650237500667572,0.22110000252723694,0.19559374451637268,0.21240000426769257,0.05600374937057495,0.18060000240802765,0.08300875127315521,-0.38519999384880066,0.19200439751148224,0.223954439163208
cloud,2020,16,71,POINT (-174.92783701877613 -21.306584419761645),1.0,714960.0,-2357490.0,0.0,0.1347000002861023,0.11013749986886978,6.0,0.16740000247955322,0.12144000083208084,0.43540000915527344,0.06689374893903732,0.1565999984741211,0.12766875326633453,0.1785999983549118,0.028833750635385513,0.12559999525547028,0.05553625151515007,-0.48100000619888306,0.18543708324432373,0.2524466812610626
cloud,2020,16,71,POINT (-174.92158625177882 -21.294539663121807),1.0,715620.0,-2356170.0,0.0,0.07530000060796738,0.05506874993443489,6.0,0.14190000295639038,0.09440749883651733,0.484499990940094,0.04923874884843826,0.12460000067949295,0.09994874894618988,0.15489999949932098,0.03447125107049942,0.09480000287294388,0.0436287485063076,-0.5062999725341797,0.14179542660713196,0.2499781996011734
