code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev,mndwi,ndwi,nirwi
bare_terrain,2019,15,50,POINT (166.6937264789204 -22.301691588898652),1.0,674460.0,-2467200.0,0.0,0.017500000074505806,0.005472499877214432,5.0,0.023800000548362732,0.004619999788701534,0.08990000188350677,0.009322499856352806,0.023399999365210533,0.007369999773800373,0.06939999759197235,0.00943250022828579,0.043800000101327896,0.003932499792426825,0.12598927319049835,0.05416908115148544,0.19611366093158722,-0.4892703592777252,-0.5813544392585754,0.17485086619853973
bare_terrain,2019,15,50,POINT (166.68843173738634 -22.310708577972722),1.0,673920.0,-2468190.0,0.0,0.021700000390410423,0.0011549999471753836,5.0,0.04320000112056732,0.0032174999359995127,0.11599999666213989,0.002612499985843897,0.0617000013589859,0.004290000069886446,0.15950000286102295,0.015069999732077122,0.1120000034570694,0.022522499784827232,-0.2622869610786438,0.02946707420051098,0.12252163141965866,-0.5737543106079102,-0.45728641748428345,0.04918036609888077
bare_terrain,2019,15,50,POINT (166.687185588756 -22.31246774241494),1.0,673800.0,-2468400.0,0.0,0.02160000056028366,0.006228750105947256,6.0,0.03739999979734421,0.012718750163912773,0.11550000309944153,0.03312375023961067,0.05169999971985817,0.015221250243484974,0.1404999941587448,0.03984750062227249,0.08560000360012054,0.025657499209046364,-0.26410216093063354,0.09615015238523483,0.13214179873466492,-0.5795390605926514,-0.5107913613319397,0.05133471265435219
bare_terrain,2019,15,50,POINT (166.6868628114272 -22.312084730243477),1.0,673740.0,-2468340.0,0.0,0.022099999710917473,0.0016774999676272273,5.0,0.03880000114440918,0.006105000153183937,0.11710000038146973,0.013722499832510948,0.05719999969005585,0.009322499856352806,0.17270000278949738,0.0032450000289827585,0.11270000040531158,0.016334999352693558,-0.29431262612342834,0.14935621619224548,0.150503009557724,-0.6330969333648682,-0.5022450089454651,0.04447166621685028
bare_terrain,2019,15,50,POINT (166.67189581013406 -22.294250820907873),1.0,672240.0,-2466360.0,0.0,0.01899999938905239,0.009185000322759151,3.0,0.02810000069439411,0.008167499676346779,0.07859999686479568,0.019360000267624855,0.034699998795986176,0.011055000126361847,0.1136000007390976,0.035750001668930054,0.07810000330209732,0.026784999296069145,-0.18213902413845062,0.06954707205295563,0.11832869797945023,-0.6033874750137329,-0.4732896089553833,0.23910942673683167
bare_terrain,2019,15,50,POINT (166.67218884268627 -22.2980312483548),1.0,672270.0,-2466780.0,0.0,0.019300000742077827,0.005307499784976244,3.0,0.03840000182390213,0.010312500409781933,0.12280000001192093,0.030139999464154243,0.04659999907016754,0.012127500027418137,0.12380000203847885,0.041634999215602875,0.08609999716281891,0.03341250121593475,-0.25288841128349304,0.08780621737241745,0.14455658197402954,-0.52651047706604,-0.5235731601715088,0.020733674988150597
bare_terrain,2019,15,50,POINT (166.67099719812344 -22.297581886087592),1.0,672150.0,-2466720.0,0.0,0.021400000900030136,0.018438750877976418,4.0,0.041600000113248825,0.009789999574422836,0.10610000044107437,0.01648624986410141,0.06400000303983688,0.015468750149011612,0.19099999964237213,0.051163751631975174,0.13369999825954437,0.044013749808073044,-0.2743772864341736,0.040512967854738235,0.09643208980560303,-0.6423043608665466,-0.43669605255126953,0.09354978054761887
bare_terrain,2019,15,50,POINT (166.66817014611286 -22.291777738196192),1.0,671850.0,-2466060.0,0.0,0.02459999918937683,0.0,1.0,0.0364999994635582,0.0,0.07540000230073929,0.0,0.04399999976158142,0.0,0.08590000122785568,0.0,0.06120000034570694,0.0,-0.07249553501605988,0.0,0.0,-0.4035947918891907,-0.3476318418979645,0.2586037218570709
bare_terrain,2019,15,50,POINT (166.66764629525184 -22.29079962508736),1.0,671790.0,-2465970.0,0.0,,,0.0,,,,,,,,,,,,,,,,
bare_terrain,2019,15,50,POINT (166.66638552542764 -22.292699287783616),1.0,671670.0,-2466180.0,0.0,,,0.0,,,,,,,,,,,,,,,,
